,text
63,"the company is now intensifying its smelter operations and increasing its annual production capacity to 230,000 tonnes of copper ."
64,the deal is in line with etteplan 's strategy to operate as a partner of global customers and provide industrial technology design services .
65,"the total scope of the project is about 38,000 square metres and it is valued at a total of around eur75m ."
66,"the company , which has eur2 .8 bn in assets , counts among its five largest shareholders finnish insurers ilmarinen 4.34 % and varma 0.70 % , as well as the finnish state pension fund ver 0.61 % ."
67,"production capacity will rise gradually from 170,000 tonnes to 215,000 tonnes ."
68,operating profit improved to eur 20.3 mn from eur 11.4 mn .
69,"the parties have also agreed that l+ænnen tehtaat has the right to sell the remaining shares in suomen rehu to hankkija-maatalous 15 months after the purchase of the majority holding , at the earliest ."
70,"key reasons to read this report : - report contains only relevant information , leaving out excessive data ."
71,"the point village , designed by scott tallon walker , will include a shopping center , office premises , a hotel and a cinema ."
72,pohjola could increase its stake to 45 % in 2013 .
73,"both operating profit and net sales for the 12-month period increased , respectively from eur10 .5 m and eur28 .8 m , as compared to the financial year 2004 ."
74,the plan is estimated to generate some eur 5 million ( usd 6.5 m ) in cost savings on an annual basis .
75,finnish lifting equipment maker konecranes hel : kcr1v said on 29 july 2009 it has raised its stake in austrian manipulator maker acs konecranes to 80 % and bought german sector player knight europe .
76,"as a result , a total of 82 employees would be given notice ."
77,the second-quarter net sales are expected to be on par with the first quarter of 2009 .
78,according to the announcement of the helsinki stock exchange the share of sentera shall be delisted from the nm-list of the helsinki stock exchange accordingly .
79,"according to ultrascan , with a software acquired from crackers , it has managed to change the mobile phone in a way that the phone was able to get hold of a one-time password sent by a bank via a text message ."
80,"capman has four investment areas ( capman buyout , capman technology , capman life science and capman real estate ) , and each of them has a dedicated team ."
81,the dividend will come on top of the 0.45 eur on a shares and 0.43 on k shares it has already paid on last year 's accounts .
82,"in addition to the presentations held by president & ceo kai telanne and cfo tuomas itkonen , participants will have an opportunity to discuss with other members of the company 's management ."
83,"the company said that it will supply the wcdma 3g-hspa radio network , including the modular , high capacity nokia flexi wcdma base station in east java , bali , sumatra and batam ."
84,"in q1 of 2010 , bank of +_land 's net interest income increased from eur 9.1 mn to eur 9.7 mn ."
85,"thus the group 's balance sheet will have about eur 25.8 million of goodwill , the company added ."
86,the solvency capital ratio of both companies was 2.7 times the solvency limit .
87,the contracts have been signed to acquire uranium produced at the sotkamo nickel-zinc mine in eastern finland owned by talvivaara .
88,the output of the contracts totals 72 mwe .
89,the upgraded factory is scheduled to come on stream in the summer of 2008 .
90,talvivaara also maintains its assumption of turning cash flow positive before the year end .
91,"finnish suominen corporation that makes wet wipes , nonwovens , and flexible packaging is starting employer-employee negotiations at its tampere plant in finland to lay off about 25 employees ."
92,net sales in 2006 totaled eur 302 million and the operating margin was 16 % .
93,nordea pankki suomi oyj 's ownership in stonesoft corporation has decreased below 1-20 .
94,the company had hoped the new plant would be on stream by the end of 2008 .
95,"net income from life insurance rose to eur 16.5 mn from eur 14.0 mn , and net income from non-life insurance to eur 22.6 mn from eur 15.2 mn in 2009 ."
96,"order intake grew by 40 % year-on-year and 30 % year-on-year , respectively , to eur 576 million and eur 1.7 billion for the respective january-september and july-september 2010 periods ."
97,"at the end of last week , protalix biotherapeutics inc ( amex : plx ) published a prospectus for a first offering on amex of about 5 % of its share capital ."
98,"according to saarioinen 's managing director ilkka m+ækel+æ , the food industry sector has a significant excess of production machinery ."
99,the company 's net sales in 2009 totalled meur 307.8 with an operating margin of 13.5 per cent .
100,finnish power company fortum reports 89 % of its electricity was generated without carbon dioxide emissions in 2007 .
101,"o'leary 's material handling services , located in perth , is the leading company in western australia that supplies , installs and provides service for tail lifts ."
102,"reporting in accordance with the merged business operations will start as of january 1 , 2011 ."
103,"the most popular paper by far was kesko 's loyal customer magazine pirkka with 2,462,000 readers ."
104,the fuel purchase contracts have been signed with three months ' delivery from this september to november .
105,"the upgrade is intended to raise the network capacity from 450 mhz to 630 mhz in several cities , enabling bi-directional services for digital television as well as broadband data ."
106,activities range from the development of natural resources to the retailed marketing of finished products .
107,"to choose basware as the tools for our financial service seemed like a natural continuation of our cooperation '' , says tommi leskinen , financial applications manager , neste oil corporation ."
108,"the total restructuring costs are expected to be about eur 30mn , of which eur 13.5 mn was booked in december 2008 ."
109,"`` after the share purchase is completed , financing will also be provided to expand latvia 's broadband infrastructure and to develop new areas of business , including acquisitions of other companies . ''"
110,"a total of 38,244 new citycon shares with a nominal value of eur 1.35 per share were subscribed on 19 april exercising the a-b-c options based on the company 's stock option plan 1999 ."
111,"kalnapilio-tauro grupe ( kalnapilis-tauras group ) , which is owned by denmark 's royal unibrew , raised its market share to 25.18 percent from 23.74 percent , as beer sales for the seven months jumped by 14.5 percent to 40.5 million liters ."
112,"in recent months , capman has taken significant steps to simplify its operations , ceo lennart simonsen said ."
113,"in russia , raisio 's food division 's home market stretches all the way to vladivostok ."
114,"after completion of the acquisition , poyry 's oil and gas expertise will cover multi-discipline engineering and consulting services across the complete oil and gas asset lifecycle , including deepwater engineering services ."
115,"finnish newspaper publisher sanoma , of media group sanomawsoy , is merging its free sheets uutislehti 100 and metro as of mid-september 2008 to form a new free sheet to be named metro ."
116,today the orange scissors are the iconic symbol of the excellent ergonomic design and superior quality associated with every product from fiskars .
117,the transaction is in line with aspo 's strategy to expand in the baltic sea region and in the eastern markets .
118,under the agreement ponsse will provide forest machine maintenance services to stora enso 's russian wood procurement operations .
119,aspo has also investigated the sales opportunities of kaukomarkkinat 's electronics business .
120,the government has instead proposed an exchange of the state 's stake in lmt to teliasonera 's stake in lattelecom .
121,"the total headcount reduction will be 50 persons , the company said ."
122,the duration of the contract is 37 months .
123,"the company , employing 6,400 , reported net sales of 620 mln euro $ 823.2 mln for 2006 ."
124,"due to market conditions , the company will also temporarily lay off about 3,200 people at different sites ."
125,"milan ( afx ) - the italian shipping group grimaldi has increased its stake in the finnish company finnlines to 35.4 pct from the 30.5 pct held in june , according to news agency ansa ."
126,the profit after taxes was eur 57.7 11.1 million .
127,"a total of 131000 talvivaara mining company plc 's new shares were subscribed for during the period between may 1 , 2010 and june 30 , 2010 under the company 's stock option rights 2007a ."
128,"in addition , the contract includes modification of the effluent treatment plant at follum ."
129,its market share widened to 48.51 percent from 48.31 percent a year earlier .
130,"tikkurila powder coatings has some 50 employees at its four paint plants , which generated revenues of eur2 .4 m usd3 .3 m in 2010 ."
131,satama earned data management solutions competency with business intelligence specialization recentlyvia the acquisition of fimentor oy .
132,"finnish holding company panostaja oyj said on june 12 , 2007 it has signed a letter of intent to acquire local lahden lampokasittely oy and heatmasters oy , active in the heat treatment of metals , for a total 3.1 mln euro ( $ 4.1 mln ) ."
133,"telecom has a foreign investment limit of 74 % , but it appears that mobile vas does not , which means that tecnomen can pick up as much as 96.6 % ."
134,"the divestment is in line with the company 's plans to focus on selected growth segments and streamline corporate structure , the company explained ."
135,"the total service concept also includes technology services , with which raute supports its customers throughout the entire life cycle of their investments ."
136,netcom expects to complete turbo 3g deployment in these areas this year .
137,it appears from statistics of the technical surveillance authority that customers who switch service providers mostly transfer their numbers to elisa 's network .
138,"the acquired plant has an annual capacity of some 300,000 tonnes and most of its production is sold to domestic customers ."
139,the order also includes start-up and commissioning services .
140,"cencorp would focus on the development , manufacture and marketing of standard products for production automation ."
141,poyry is a global expert in consulting and engineering .
142,the contract covers new energy-efficient ac drives that have been designed in cooperation between the companies .
143,city cu welcomes dart members dallas-city cu welcomes the members of dart fcu as they merge with city cu .
144,"the three year turn-around program is expected to ensure salomon 's future competitiveness , the company said ."
145,"the other two sellers were the finnish national fund for r&d ( sitra ) and oras invest oy , which also sold half of their shareholdings , leaving them with 3.8 pct and 3.2 pct of the company respectively ."
146,"eur928 ,000 in q1 2010 6 may 2010 - finnish textile and clothing design company marimekko oyj ( hel : mmo1v ) said today its net profit rose to eur928 ,000 in the first quarter of 2010 from eur13 ,000 in the corresponding period a year earlier ."
147,"a meeting for the media and analysts will be held on the same day at 10:30 a.m. at stonesoft headquarters in helsinki , italahdenkatu 22 a. the interim report will be presented by stonesoft 's ceo ilkka hiidenheimo ."
148,it is now the leading private road ambulance service company in finland .
149,the company has exported into about twenty european countries as well as to africa .
150,the finnish daily kauppalehti surmises that finnish supplier rautaruukki has raised its prices above aker 's comfort zone .
151,at 9:00 eet alma media 's annual report for 2009 is scheduled to be published in calendar week 9 .
152,"ova press has a 60 % stake in the joint venture , while imsm holds a 40 % stake ."
153,its other well-known brands include fitness equipment maker precor and u.s. - based ball sports equipment maker wilson .
154,metso 's delivery will include a complete coated board line with related air systems and two winders .
155,"i am looking forward to contribute to srv 's success with my competence '' , says taneli hassinen ."
156,"retail chain suomen l+æhikauppa was given the index 5.8 , airline sas 5.8 , teliasonera 's broadband 6.1 , german retail chain lidl 6.1 , tele finland 's mobile subscriptions 6.1 , tallink shipping line 6.3 , and power company helsinki energy 6.3 ."
157,talvivaara is listed on the london stock exchange main market and nasdaq omx helsinki and is included in the ftse 250 index .
158,"scanfil , a systems supplier and contract manufacturer to the communications sector , will give notice to 20 productional employees , and temporarily lay off 15 employees at the company 's plant in sievi , in finland ."
159,the company website is www.ahlstrom.com .
160,"in the automobile space , maruti is the most searched brand in cars ."
161,"the estonian beverages maker a. le coq today brought to the market a new premium class beer , a. le coq special , investing 6 million kroons eur 383,000 into its development and planning to sell three million liters of the beer during the next year ."
162,"in middle east & north africa , tecnotree has grown considerably in the recent years ."
163,"also , a six-year historic analysis is provided for this market ."
164,the business to be divested generates consolidated net sales of eur 60 million annually and currently has some 640 employees .
165,the cvs of the proposed members are available for viewing from 12 march 2008 onwards on the internet at www.sampo.com/ir .
166,the eur 0.7 million non-recurring expenses have been recorded for the third quarter .
167,merging the two free sheets will clarify the market situation .
168,the transaction is planned to be financed with a eur40m market-based loan granted by standard chartered bank hong kong .
169,"finland-based elcoteq se , a privately held provider of electronics manufacturing services to communications companies , said thursday it signed a long-term manufacturing supply deal with communications equipment company andrew corp. ."
170,"`` we have become convinced that we can do that very quickly , '' he told finnish business reporters ."
171,"alma media corporation press release march 25 , 2010 tyrv+_+_n sanomat purchase confirmed the business operations of tyrv+æ+æn sanomat oy will be transferred to suomen paikallissanomat oy ."
172,another noticeable thing is that the search for tata and airtel brands was mostly related to ` broadband connections ' .
173,self-service and automation are in a bigger role now and fujitsu 's global resources will be exploited effectively .
174,finnlines has six ships under construction in china with deliveries scheduled between the first quarter of 2011 and the final quarter of 2012 .
175,`` russia is ready to participate in an open tender for lattelecom 's privatization .
176,"operating income was eur -24.9 mn , including eur 15.3 mn of restructuring expenses ."
177,`` there is no room to modify the share component as we have already indicated . ''
178,helsinki afx - outokumpu said its technology unit has won a 28 mln eur contract from bosnia-herzegovina 's aluminij dd mostar to upgrade an anode plant .
179,"the swedish buyout firm has sold its remaining 22.4 percent stake , almost eighteen months after taking the company public in finland ."
180,"finnish financial software developer basware oyj said today it will provide its invoice automation ( ia ) solution to an unnamed major retail company in the usa in a deal , worth more than eur300 ,000 ."
181,nordic business report-26 june 2006-metso corporation wins eur50m equipment order in australia -_ 1998-2006 m2 communications ltd the finnish engineering and technology group metso corporation said on monday ( 26 june ) that it has received a eur50m equipment order in australia .
182,"in finland , martela offers a comprehensive service that can cover the entire process of change from initial inventory and design to removal and maintenance ."
183,elcoteq expects its net sales for the last quarter of 2010 to be on the level of the third quarter .
184,kaupthing forecasts a significant price increase for printing paper in 2007 .
185,"poyry plccompany announcement 10 december 2010 at 4.10 p.m. pursuant to poyry plc 's stock option program 2004 , 63 792 new shares of the company have been subscribed since 27 october 2010 with stock options 2004b ."
186,"`` lining stone sales were also good in the early autumn , and order books are strong to the end of the year ."
187,"the purchase of sites worth 300 million in the thames gateway will provide more than 1,200 homes ."
188,kauko-telko 's centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and group administration by the end of the year .
189,revenues at the same time grew 14 percent to 43 million euros .
190,he will report to capman plc 's ceo heikki westerlund .
191,"the cl51 is designed to measure cloud base height and vertical visibility in all weather conditions , which makes it an ideal instrument for meteorological applications that rely on reliable cloud height detection ."
192,"incap contract manufacturing services pvt ltd , a subsidiary of incap corporation of finland , is acquiring the manufacturing unit of the tvs electronic ltd at tumkur , near bangalore , for rs40 crore ."
193,"the share capital of alma media corporation (business id 1944757-4)is eur 45,031,513.80 and it is divided into 75,052,523 shares ."
194,"the number of class a shares remains unchanged at 9,526,089 shares ."
195,cargo volume grew by 7 % .
196,ionphase 's second major owner is venture capital firm aura capital .
197,"the company has also supplied more than 200 mw of power generating equipment for a number of projects in papua new guinea , including 12 engines of the wartsila 32 type to lihir gold ."
198,"adpnews - jun 30 , 2009 - finnish stainless steel maker outokumpu oyj hel : out1v said yesterday it signed a three-year eur 900 million usd 1.3 bn revolving credit facility ."
199,elcoteq se is listed on the nasdaq omx helsinki ltd. .
200,"both operating profit and turnover for the nine-month period increased , respectively from eur2 .4 m and eur43 .8 m , as compared to the corresponding period a year ago ."
201,"tikkurila , a division of kemira group , controls about 23 % of the russian market in its field and owns st. petersburg paint producer tex. ."
202,"the new agreement , which expands a long-established cooperation between the companies , involves the transfer of certain engineering and documentation functions from larox to etteplan ."
203,the right margin will be viewed separately in detail with every customer .
204,"our solutions are industry-independent supporting multilingual and currency needs , modular and applicable to companies of all sizes , '' ceo ilkka sihvo said ."
205,"if needed , she provides also further information on ferry connections and hotels ."
206,finnish kci konecranes has raised its net sales growth estimate for 2006 from over 25 % to over 35 % .
207,finnish sports equipment company amer sports said it has decided to lay off 370 workers from its salomon division in france .
208,elcoteq has a global network of after market service sites which have a long experience in serving consumer electronics and systems solutions customers .
209,"it is estonia 's second-largest meat processing company by market share ( according to ac nielsen 's 2008 data , 13 percent ) ."
210,odell has not contacted the state of finland in this issue .
211,"the company had net sales of eur 10.8 million in 2008 , and today has approximately 120 employees in finland , estonia and poland ."
212,net sales of the lehdentekijat unit was approximately eur 14 million in 2007 and it had 70 employees .
213,the value of the order is usd 2.3 mn .
214,"the order comprises four ball mills , which will be organized in two different streams for treating ore in the pilanesberg platinum mine ."
215,the shipyard hopes the regional government in andalusia can offer its some form of financial support .
216,"for the full 2010 the company expects its net sales and operating result to improve from the previous year , saying that a positive operating result and its amount will depend on the order intake by the end of the summer ."
217,"capman , the stockholm-headquartered private equity firm , has held a first close on its second private equity real estate fund as it continues its push into the property sector ."
218,"the group intends to relocate warehouse and office space in loudeac and saint marcel to morvillars , in the east of the country , where it already operates a hook manufacturing and distribution unit ."
219,"in 2008 , the deal is likely to bring savings of eur 20mn-25mn ."
220,"earnings per share for the quarter were also higher year-on-year at 0.33 eur versus 0.27 , and above market expectations of 0.28 eur ."
221,"currently the terminator lures are produced in a subcontract facility in mexico but the manufacturing will be transferred to rapala 's factory in shenzhen , china ."
222,operating profit improved by 44.0 % to er 4.7 mn from eur 3.3 mn in 2004 .
223,"talvik says the relocation of application programs on servers will continue , while hp servers were approved because of hp supplying a tailor-made solution to elisa ."
224,rising costs have forced packaging producer huhtamaki to axe 90 jobs at its hampshire manufacturing plant .
225,"it is the first oil company to join rspo and commits fully to sustainable sourcing of feedstocks for the production of its nexbtl biodiesel , it said ."
226,"finnish bank pohjola bank plc hel : poh1s said today that it will issue a eur 40 million usd 51.2 m index-linked bond , pohjola tutkimuksen tahdet viii-2010 pohjola research stars viii-2010 , on october 27 , 2010 ."
227,"operating profit totalled eur 21.1 mn , up from eur 18.6 mn in 2007 , representing 9.7 % of net sales ."
228,"companies evaluated in the report include aladdin , ca , f-secure , kaspersky , marshal , mcafee , microsoft , panda , proofpoint , sophos , symantec , trend micro , tumbleweed , and websense ."
229,"the market share of volkswagen passenger cars in finland was 10.1 percent , audi had a market share of 3.1 percent and seat 's share was 0.9 percent ."
230,"upgrades include a five megapixel camera , voice control , and what looks to be an optical mouse instead a d-pad -- an upgrade click-happy s60 has needed forever ."
231,technopolis is europe 's leading operator of technoparks .
232,"alexandria , va. , oct. 6 -- united states patent no. 7,804,288 , issued on sept. 28 , was assigned to vacon oyj ( vaasa , finland ) ."
233,the value of the orders is about eur 70mn .
234,"addus ' services include personal care and assistance with activities of daily living , skilled nursing and rehabilitative therapies , and adult day care ."
235,"with five different game modes , co-op tournaments , 4 player split-screen and multiplayer modes , players can have as much fun as they would if they were actually fishing ."
236,"the order includes a log handling line , peeling line and drying line for the production of parquet base layer veneer for plyfa 's hassela mill , central sweden ."
237,the company is studying the feasibility of focusing most of its processed meat production in the vantaa facilities and the processing of fresh meat in the forssa facilities .
238,"net sales totaled eur 93.6 mn , up from eur 93.2 mn in the corresponding period in 2005 ."
239,"the contract also includes installation work in a new multistorey carpark for close on 1,000 vehicles ."
240,their offering also covers localisation services related to production transfer to the finnish company 's customers that already have production in asian market or have made the decision to transfer production there .
241,"scopi chief business excellence officer , eng ."
242,"with the extension of the new contract for a further eight engines , the plant will now produce over 100 mw , it said ."
243,"altona stated that the private company of altona chairman kevin maloney , tulla resources , would take up its entitlement in full ."
244,to be number one means creating added value for stakeholders in everything we do .
245,the interchange of editors-in-chief is a part of publisher 's goal to enhance job circulation in all personnel groups .
246,"tyrvaan sanomat , published twice a week by tyrvaan sanomat oy , appears in sastamala and kiikoinen ."
247,"pulkovo park will be ready in 2016 , its first stage of 23,000 sq. m. will be finished in the first quarter of 2010 ."
248,"huhtamaki oyj stock exchange release , 16.9.2008 at 13.32 huhtamaki 's capital markets day for institutional investors and analysts is held in espoo , september 16 , 2008 starting at 13.30 pm finnish time ."
249,this wood lacquered clock comes with a stripy hand-crocheted cover .
250,around 50 percent of the world 's ro-ro fleet is over 25 years old and needs to be scrapped for environmental reasons .
251,"says brian burton , head of it security , vodafone uk ."
252,"aldata solution , a global company engaged in supplier to consumer business process optimization , has announced the details of its dollars for dinosaurs program ."
253,"at end-august , sampo was nordea 's biggest shareholder with a 20.6 % stake , followed by the state with 19.9 % ."
254,operating profit rose to eur 9.2 mn from eur 6.8 mn in the corresponding period in 2007 .
255,closing of such transaction took place today .
256,lemmink+æinen started the manufacture of roofing felt in 1920 and the production of asphalt in the 1930s .
257,"about midnighttrader : midnighttrader is the premier source of extended-hours us equity trading analysis , news and forecasting for the retail and institutional investment community ."
258,"the maximum amount of the capital loan will be eur30m and the minimum subscription -- eur10 ,000 ."
259,the reductions will be implemented mainly in the course of the first half of 2009 .
260,"on the basis of competitive bidding ooo kitai stroi , the russian subsidiary of china state construction engineering corporation , a construction company owned by china state , has been selected as the main constructor ."
261,"poyry plc additional information by : martin kuzaj , president , industry business group , finland tel. +358 10 33 21179 sanna paivaniemi , director , investor relations , poyry plc , finland tel. +358 10 33 23002 poyry is a global consulting and engineering company dedicated to balanced sustainability ."
262,"erkki jarvinen , president of rautakirja and the head of the sanoma trade division , will leave his current tasks in spring 2009 for a similar position outside the sanoma group ."
263,vianor sells tires for cars and trucks as well as a range of other car parts and provides maintenance services .
264,"currently , 95 % of trainers house 's revenues are attributed to the finnish market ."
265,the company feels these leases are prime locations due to several producing formations in the immediate area .
266,"helsinki 19 may 2010 - finnish company lemminkainen oyj ( hel : lem1s ) said today that it will construct an office building at toolonlahti in downtown helsinki , without disclosing financial details ."
267,"olvi , which controls a 94 percent stake in ragutis through a. le coq , said in its annual report published earlier this year that the lithuanian brewery 's sales reached 15.04 million euros last year , a rise of 20.4 percent from 12.49 million euros in 2004 ."
268,"the buildings , with about 40 condominiums each , will be built in 4 or 5 stages ."
269,one of the largest projects of the magazine division of sanomawsoy - sanoma magazines international in 2006 became launch of the russian magazine gloriya .
270,pharmaceuticals - czech republic this brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in czech republic .
271,"on the following workday customers can check from their home computers how their purchases are divided between different ingredient groups , how much energy various products contain and what is the nutritional content of all purchases ."
272,"net sales for the financial year 2006 are expected to amount to about eur20m and the operating result ebit is expected to be a loss , as announced before ."
273,the expansion is to be finalized in the autumn of 2009 .
274,no more waste-burning facilities should be built .
275,around 250 of these reductions will be implemented through pension arrangements .
276,"the division also includes joint sales , marketing and controlling functions for these units ."
277,"changes being announced today will be effective after the close of trading on friday , june 19 , 2009 ."
278,the plant would use palm oil certified by the roundtable on sustainable palm oil ( rspo ) .
279,an audio webcast will be available live and archived on cerner 's web site at www.cerner.com .
280,"alma media holds 70 % of this company , the remaining shares being owned by the company 's key employees ."
281,"glaston , headquartered in tampere , finland , is a growing and international glass technology company ."
282,net sales in 2008 are expected to be on the same level as in 2007 .
283,"among paper issues , stora enso r was little changed -- up 0.08 pct at 12.03 eur , upm-kymmene was 0.48 pct higher at 18.77 eur and m-real b added 0.50 pct to 3.99 eur ."
284,"the money will be spread mainly over 2011 and 2012 , the company said ."
285,`` i warmly welcome michael frei to outotec .
286,fortum had intended to spend as much as ( euro ) 2.7 bn to become the sole owner of tgk-10 .
287,the company says the measures are no longer needed .
288,the finnish textiles and clothing company marimekko corporation ( omx helsinki : mmo1v ) reported on wednesday ( 5 november ) an operating profit of eur8 .1 m on net sales of eur59m for the period from january to september 2008 .
289,finnish forest machinery manufacturer ponsse 's net sales grew to eur 51.3 mn in the first quarter of 2010 from eur 37.5 mn in the corresponding period in 2009 .
290,mr k.r. vasantha has been appointed managing director of incap contract manufacturing services pvt. ltd. .
291,"the move is aimed at boosting sales , cost-efficiency and market share in finland ."
292,the company has 120 employees and annual sales of approximately eur16m .
293,"the finnish investment company sponda is conducting negotiations to acquire the business center dukat palace-2 located in the center of moscow , from london & regional properties ."
294,operating profit increased by 145.1 % to eur 8.3 mn from eur 3.4 mn .
295,the subsidiary is setting up a facility for manufacturing high-density interconnection printed circuit boards or pcbs at nokia 's special economic zone at sriperumbudur near chennai .
296,pretax profit rose to eur 0.6 mn from eur 0.4 mn in the corresponding period in 2005 .
297,bg crane has a strong customer base in the on-road load handling and related installation and service businesses .
298,"kone 's factory located at ayanambakkam , a suburb to the west of chennai , is a fully integrated facility which gives it the capability to address costs ."
299,"the center offers a comprehensive range of device design services spanning from electronics , mechanics and software design to a full range of testing laboratory services ."
300,the department store division reported an increase in sales of 4 per cent .
301,the company closed last year with a turnover of about four million euros .
302,the value of the order is usd 2.2 mn .
